scenario,seed,horizon,mean_rollout_mse,mean_graph_mismatch,max_graph_mismatch,exact_graph_fraction
id,50000,4,1.4312074597455648e-06,0.0,0.0,1.0
id,50000,8,5.437579898170952e-06,0.0,0.0,1.0
id,50000,12,1.1688180074997945e-05,0.0,0.0,1.0
id,50000,16,1.995137108679046e-05,0.0015625,0.015625,0.9
id,50001,4,5.693652639138236e-07,0.0015625,0.015625,0.9
id,50001,8,2.0583765376613883e-06,0.0,0.0,1.0
id,50001,12,4.230501349411497e-06,0.0015625,0.015625,0.9
id,50001,16,6.933128452146775e-06,0.0,0.0,1.0
id,50002,4,1.0047960984138626e-06,0.0,0.0,1.0
id,50002,8,3.6879794834021597e-06,0.0,0.0,1.0
id,50002,12,7.676237964915345e-06,0.0,0.0,1.0
id,50002,16,1.2722538940579398e-05,0.0015625,0.015625,0.9
severe,50000,4,2.273856553074438e-05,0.0,0.0,1.0
severe,50000,8,8.466514336760155e-05,0.00625,0.015625,0.6
severe,50000,12,0.00017758333488018251,0.0078125,0.015625,0.5
severe,50000,16,0.0002946354026789777,0.0109375,0.03125,0.5
severe,50001,4,1.1835206214527716e-05,0.0,0.0,1.0
severe,50001,8,4.294612408557441e-05,0.0,0.0,1.0
severe,50001,12,8.784391975495965e-05,0.0046875,0.015625,0.7
severe,50001,16,0.00014225666382117197,0.003125,0.015625,0.8
severe,50002,4,1.9962685655627865e-05,0.0,0.0,1.0
severe,50002,8,7.256553381012054e-05,0.0015625,0.015625,0.9
severe,50002,12,0.00014853293287160342,0.0078125,0.03125,0.6
severe,50002,16,0.0002404659942840226,0.009375,0.03125,0.5
extreme1,50000,4,4.629234190360876e-05,0.0015625,0.015625,0.9
extreme1,50000,8,0.00017108628671849146,0.00625,0.015625,0.6
extreme1,50000,12,0.0003556650728569366,0.00625,0.03125,0.7
extreme1,50000,16,0.0005841019417857751,0.0203125,0.078125,0.4
extreme1,50001,4,2.3045188299875008e-05,0.0,0.0,1.0
extreme1,50001,8,8.330956698046065e-05,0.003125,0.015625,0.8
extreme1,50001,12,0.00016959495187620632,0.003125,0.015625,0.8
extreme1,50001,16,0.0002730437416175846,0.0046875,0.03125,0.8
extreme1,50002,4,3.800102676905226e-05,0.003125,0.015625,0.8
extreme1,50002,8,0.00013733801097259857,0.0046875,0.03125,0.8
extreme1,50002,12,0.0002789356462017167,0.009375,0.03125,0.6
extreme1,50002,16,0.000447238571359776,0.0125,0.0625,0.6
extreme2,50000,4,7.758159790682839e-05,0.0,0.0,1.0
extreme2,50000,8,0.0002841930618160404,0.00625,0.015625,0.6
extreme2,50000,12,0.0005843842431204393,0.0078125,0.015625,0.5
extreme2,50000,16,0.0009476543928030878,0.01875,0.046875,0.3
extreme2,50001,4,3.786056131502846e-05,0.0015625,0.015625,0.9
extreme2,50001,8,0.0001362511349725537,0.003125,0.03125,0.9
extreme2,50001,12,0.00027556396962609143,0.0046875,0.015625,0.7
extreme2,50001,16,0.00043992281280225143,0.015625,0.078125,0.5
extreme2,50002,4,6.206424977790448e-05,0.0,0.0,1.0
extreme2,50002,8,0.00022259399120230227,0.003125,0.015625,0.8
extreme2,50002,12,0.00044731795496772976,0.0125,0.046875,0.6
extreme2,50002,16,0.0007076038178638555,0.0171875,0.03125,0.3
extreme3,50000,4,0.00014284463341027732,0.003125,0.015625,0.8
extreme3,50000,8,0.0005152427882421761,0.009375,0.03125,0.5
extreme3,50000,12,0.00103843966498971,0.0171875,0.09375,0.6
extreme3,50000,16,0.0016440231003798545,0.0171875,0.046875,0.4
extreme3,50001,4,6.90195343850064e-05,0.0015625,0.015625,0.9
extreme3,50001,8,0.00024574274393671656,0.0046875,0.015625,0.7
extreme3,50001,12,0.0004894817291642539,0.009375,0.046875,0.6
extreme3,50001,16,0.0007662415329832584,0.028125,0.0625,0.1
extreme3,50002,4,0.00011221641543670557,0.0,0.0,1.0
extreme3,50002,8,0.0003961159018217586,0.0078125,0.03125,0.7
extreme3,50002,12,0.0007781887048622594,0.0125,0.03125,0.4
extreme3,50002,16,0.0011961141965002753,0.025,0.0625,0.2
