scenario,horizon,rollout_mse,graph_mismatch,max_graph_mismatch,exact_graph_fraction
extreme1,4,3.577951899084534e-05,0.0015625000000000003,0.015625,0.9
extreme1,8,0.00013057795489051688,0.0046875,0.03125,0.7333333333333334
extreme1,12,0.0002680652236449532,0.0062499999999999995,0.03125,0.7000000000000001
extreme1,16,0.0004347947515877119,0.012500000000000002,0.078125,0.6
extreme2,4,5.916880299992044e-05,0.0005208333333333333,0.015625,0.9666666666666667
extreme2,8,0.00021434606266363212,0.004166666666666667,0.03125,0.7666666666666666
extreme2,12,0.0004357553892380868,0.008333333333333333,0.046875,0.6
extreme2,16,0.0006983936744897316,0.017187499999999998,0.078125,0.3666666666666667
extreme3,4,0.00010802686107732977,0.0015625000000000003,0.015625,0.9
extreme3,8,0.00038570047800021704,0.007291666666666666,0.03125,0.6333333333333333
extreme3,12,0.0007687033663387411,0.013020833333333334,0.09375,0.5333333333333333
extreme3,16,0.0012021262766211294,0.0234375,0.0625,0.23333333333333336
id,4,1.0017896073577503e-06,0.0005208333333333333,0.015625,0.9666666666666667
id,8,3.7279786397448336e-06,0.0,0.0,1.0
id,12,7.864973129774929e-06,0.0005208333333333333,0.015625,0.9666666666666667
id,16,1.3202346159838878e-05,0.0010416666666666667,0.015625,0.9333333333333332
severe,4,1.817881913363332e-05,0.0,0.0,1.0
severe,8,6.672560042109884e-05,0.0026041666666666665,0.015625,0.8333333333333334
severe,12,0.0001379867291689152,0.0067708333333333336,0.03125,0.6
severe,16,0.00022578602026139075,0.0078125,0.03125,0.6
