timestep,policy,total_messages,total_bytes,byte_hops,max_link_load_bytes,mean_active_link_load_bytes,hot_link_count,max_hops,serialization_cycles,estimated_latency_cycles,migration_byte_hops,moved_tasks,realized_objective
4,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
5,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
6,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
7,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
8,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
9,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
10,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
11,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
12,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
13,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
14,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
15,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
16,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
17,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
18,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
19,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
20,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
21,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
22,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
23,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
24,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
25,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
26,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
27,static,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
