timestep,policy,total_messages,total_bytes,byte_hops,max_link_load_bytes,mean_active_link_load_bytes,hot_link_count,max_hops,serialization_cycles,estimated_latency_cycles,migration_byte_hops,moved_tasks,realized_objective
4,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
5,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
6,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
7,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
8,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
9,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
10,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
11,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
12,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
13,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
14,static,64.0,16384.0,4096.0,256.0,256.0,16,7,4.0,11.0,0.0,0,5120.0
15,static,64.0,16384.0,7168.0,256.0,256.0,28,7,4.0,11.0,0.0,0,8192.0
16,static,64.0,16384.0,10240.0,256.0,256.0,40,7,4.0,11.0,0.0,0,11264.0
17,static,64.0,16384.0,14592.0,256.0,256.0,57,7,4.0,11.0,0.0,0,15616.0
18,static,64.0,16384.0,16384.0,512.0,260.06349206349205,1,7,8.0,15.0,0.0,0,18432.0
19,static,64.0,16384.0,21760.0,512.0,262.1686746987952,2,7,8.0,15.0,0.0,0,23808.0
20,static,64.0,16384.0,25600.0,512.0,261.2244897959184,2,7,8.0,15.0,0.0,0,27648.0
21,static,64.0,16384.0,28416.0,512.0,263.1111111111111,3,7,8.0,15.0,0.0,0,30464.0
22,static,64.0,16384.0,29952.0,512.0,279.9252336448598,10,8,8.0,16.0,0.0,0,32000.0
23,static,64.0,16384.0,33792.0,512.0,274.7317073170732,9,8,8.0,16.0,0.0,0,35840.0
24,static,64.0,16384.0,36864.0,512.0,271.05882352941177,8,8,8.0,16.0,0.0,0,38912.0
25,static,64.0,16384.0,38656.0,512.0,272.22535211267603,9,8,8.0,16.0,0.0,0,40704.0
26,static,64.0,16384.0,40960.0,512.0,269.4736842105263,8,8,8.0,16.0,0.0,0,43008.0
27,static,64.0,16384.0,41984.0,512.0,269.12820512820514,8,8,8.0,16.0,0.0,0,44032.0
28,static,64.0,16384.0,42752.0,512.0,270.5822784810127,9,8,8.0,16.0,0.0,0,44800.0
29,static,64.0,16384.0,43008.0,512.0,272.2025316455696,10,8,8.0,16.0,0.0,0,45056.0
30,static,64.0,16384.0,46080.0,512.0,260.33898305084745,3,14,8.0,22.0,0.0,0,48128.0
31,static,64.0,16384.0,48640.0,512.0,260.10695187165777,3,14,8.0,22.0,0.0,0,50688.0
32,static,64.0,16384.0,48896.0,512.0,260.0851063829787,3,14,8.0,22.0,0.0,0,50944.0
