timestep,policy,total_messages,total_bytes,byte_hops,max_link_load_bytes,mean_active_link_load_bytes,hot_link_count,max_hops,serialization_cycles,estimated_latency_cycles,migration_byte_hops,moved_tasks,realized_objective
4,static,36.0,9216.0,3072.0,256.0,256.0,12,6,4.0,10.0,0.0,0,4096.0
5,static,36.0,9216.0,8704.0,256.0,256.0,34,6,4.0,10.0,0.0,0,9728.0
6,static,36.0,9216.0,12544.0,256.0,256.0,49,10,4.0,14.0,0.0,0,13568.0
7,static,36.0,9216.0,14592.0,256.0,256.0,57,10,4.0,14.0,0.0,0,15616.0
8,static,36.0,9216.0,15104.0,256.0,256.0,59,10,4.0,14.0,0.0,0,16128.0
9,static,36.0,9216.0,16128.0,256.0,256.0,63,10,4.0,14.0,0.0,0,17152.0
10,static,36.0,9216.0,17920.0,256.0,256.0,70,10,4.0,14.0,0.0,0,18944.0
11,static,36.0,9216.0,17920.0,256.0,256.0,70,10,4.0,14.0,0.0,0,18944.0
12,static,36.0,9216.0,17920.0,256.0,256.0,70,10,4.0,14.0,0.0,0,18944.0
13,static,36.0,9216.0,18944.0,512.0,270.62857142857143,4,10,8.0,18.0,0.0,0,20992.0
14,static,36.0,9216.0,19968.0,512.0,281.23943661971833,7,10,8.0,18.0,0.0,0,22016.0
15,static,36.0,9216.0,20224.0,512.0,288.9142857142857,9,10,8.0,18.0,0.0,0,22272.0
16,static,36.0,9216.0,21760.0,512.0,302.22222222222223,13,10,8.0,18.0,0.0,0,23808.0
17,static,36.0,9216.0,23552.0,512.0,322.63013698630135,19,10,8.0,18.0,0.0,0,25600.0
18,static,36.0,9216.0,26112.0,512.0,334.7692307692308,24,10,8.0,18.0,0.0,0,28160.0
19,static,36.0,9216.0,26368.0,512.0,338.05128205128204,25,10,8.0,18.0,0.0,0,28416.0
20,static,36.0,9216.0,25856.0,512.0,335.7922077922078,24,9,8.0,17.0,0.0,0,27904.0
21,static,36.0,9216.0,26880.0,512.0,344.61538461538464,27,9,8.0,17.0,0.0,0,28928.0
22,static,36.0,9216.0,27136.0,512.0,347.8974358974359,28,9,8.0,17.0,0.0,0,29184.0
23,static,36.0,9216.0,27904.0,768.0,348.8,1,9,12.0,21.0,0.0,0,30976.0
