policy,horizon,mean_cost,p95_cost,total_cost,physics_error,improvement_vs_static,improvement_vs_reactive,improvement_vs_history,oracle_capture_vs_reactive
characteristic,1,183.59595959595958,210.1,18176.0,0.0,1.8807768485915493,1.5956205985915493,1.6186179577464788,1.0
characteristic,1,193.97979797979798,217.29999999999998,19204.0,0.01,1.78009789627161,1.5102062070402,1.5319725057279734,0.9050434140033253
characteristic,1,202.72727272727272,227.0,20070.0,0.02,1.703288490284006,1.4450423517688091,1.465869456900847,0.8250508036209127
characteristic,1,224.41414141414143,260.1,22217.0,0.05,1.538686591348967,1.3053967682405365,1.324211189629563,0.6267319416220211
characteristic,1,244.62626262626262,277.2,24218.0,0.1,1.4115533900404658,1.1975390205632175,1.214798909901726,0.4418991317199335
characteristic,1,266.42424242424244,312.1,26376.0,0.2,1.2960646041856232,1.0995602062481042,1.1154079466181377,0.24256419730278958
characteristic,2,189.40816326530611,214.29999999999998,18562.0,0.0,1.8298135976726646,1.6168516323672018,1.6660381424415474,1.0
characteristic,2,199.58163265306123,219.59999999999997,19559.0,0.01,1.7365407229408456,1.5344342757809704,1.581113553862672,0.9129257641921398
characteristic,2,209.3673469387755,237.19999999999993,20518.0,0.02,1.6553757676186762,1.4627156642947656,1.5072131786723852,0.8291703056768559
characteristic,2,227.5612244897959,266.45,22301.0,0.05,1.5230258732792252,1.3457692480157841,1.3867091161831309,0.6734497816593886
characteristic,2,243.76530612244898,286.29999999999995,23889.0,0.1,1.4217840847251872,1.2563104357654151,1.2945288626564528,0.5347598253275109
characteristic,2,275.11224489795916,323.15,26961.0,0.2,1.2597826490115351,1.113163458328697,1.1470271874188642,0.2664628820960699
characteristic,4,191.30208333333334,211.25,18365.0,0.0,1.818186768309284,1.674652872311462,1.7211543697250204,1.0
characteristic,4,201.40625,220.25,19335.0,0.01,1.7269718127747609,1.5906387380398241,1.634807344194466,0.9217110573042776
characteristic,4,210.17708333333334,245.0,20177.0,0.02,1.6549040987262724,1.524260296377063,1.5665857164097734,0.8537530266343826
characteristic,4,230.60416666666666,269.75,22138.0,0.05,1.5083115005872256,1.3892402204354504,1.4278164242478995,0.6954802259887005
characteristic,4,253.5,299.75,24336.0,0.1,1.3720825115055884,1.2637656147271532,1.2988576594345824,0.5180790960451978
characteristic,4,277.28125,338.25,26619.0,0.2,1.2544047484879222,1.1553777377061498,1.1874600849017618,0.333817594834544
characteristic,8,190.7391304347826,211.45,17548.0,0.0,1.8441987690904946,1.7171757465238204,1.732961021198997,1.0
characteristic,8,203.7826086956522,225.45,18748.0,0.01,1.7261574567953915,1.6072647749093236,1.622039684232985,0.9046483909415971
characteristic,8,212.06521739130434,244.8,19510.0,0.02,1.6587391081496667,1.5444900051255765,1.5586878523833931,0.8441001191895113
characteristic,8,236.84782608695653,269.0,21790.0,0.05,1.4851766865534648,1.3828820559889858,1.3955943093162,0.6629320619785459
characteristic,8,256.2608695652174,302.9,23576.0,0.1,1.3726671191041737,1.2781218187987784,1.2898710553104853,0.5210170838299563
characteristic,8,277.7282608695652,314.45,25551.0,0.2,1.2665649093968925,1.1793276192712614,1.1901686822433564,0.36408422725466827
characteristic,16,191.17857142857142,211.0,16059.0,0.0,1.847811196213961,1.7610062893081762,1.7918301264088674,1.0
characteristic,16,203.64285714285714,224.85,17106.0,0.01,1.7347129662106864,1.6532210920144979,1.6821583070267743,0.9143277964160053
characteristic,16,218.85714285714286,249.0,18384.0,0.02,1.6141209747606615,1.5382941688424716,1.5652197563098347,0.8097537026429916
characteristic,16,238.98809523809524,275.85,20075.0,0.05,1.4781569115815691,1.408717310087173,1.4333748443337484,0.6713853203502168
characteristic,16,261.48809523809524,310.25,21965.0,0.1,1.3509674482130662,1.2875028454359208,1.3100386979285226,0.5167334915309713
characteristic,16,285.4642857142857,328.0,23979.0,0.2,1.2374994787105384,1.179365277951541,1.2000083406313857,0.35193519351935193
