policy,horizon,mean_cost,p95_cost,total_cost,physics_error,improvement_vs_static,improvement_vs_reactive,improvement_vs_history,oracle_capture_vs_reactive
static,1,345.3030303030303,438.0,34185.0,,1.0,0.8483837940617229,0.8606113792599093,-0.4787548494365417
reactive,1,292.949494949495,359.1,29002.0,,1.1787118129784153,1.0,1.0144127991173022,0.0
history,1,297.17171717171715,359.29999999999995,29420.0,,1.1619646498980285,0.9857919782460911,1.0,-0.03861075189358951
oracle,1,183.59595959595958,210.1,18176.0,,1.8807768485915493,1.5956205985915493,1.6186179577464788,1.0
characteristic,1,183.59595959595958,210.1,18176.0,0.0,1.8807768485915493,1.5956205985915493,1.6186179577464788,1.0
characteristic,1,193.97979797979798,217.29999999999998,19204.0,0.01,1.78009789627161,1.5102062070402,1.5319725057279734,0.9050434140033253
characteristic,1,202.72727272727272,227.0,20070.0,0.02,1.703288490284006,1.4450423517688091,1.465869456900847,0.8250508036209127
characteristic,1,224.41414141414143,260.1,22217.0,0.05,1.538686591348967,1.3053967682405365,1.324211189629563,0.6267319416220211
characteristic,1,244.62626262626262,277.2,24218.0,0.1,1.4115533900404658,1.1975390205632175,1.214798909901726,0.4418991317199335
characteristic,1,266.42424242424244,312.1,26376.0,0.2,1.2960646041856232,1.0995602062481042,1.1154079466181377,0.24256419730278958
static,2,346.5816326530612,438.0,33965.0,,1.0,0.8836154865302517,0.9104960989253643,-0.3452401746724891
reactive,2,306.2448979591837,365.0,30012.0,,1.131713981074237,1.0,1.0304211648673864,0.0
history,2,315.5612244897959,372.74999999999994,30925.0,,1.0983023443815683,0.9704769603880355,1.0,-0.07973799126637554
oracle,2,189.40816326530611,214.29999999999998,18562.0,,1.8298135976726646,1.6168516323672018,1.6660381424415474,1.0
characteristic,2,189.40816326530611,214.29999999999998,18562.0,0.0,1.8298135976726646,1.6168516323672018,1.6660381424415474,1.0
characteristic,2,199.58163265306123,219.59999999999997,19559.0,0.01,1.7365407229408456,1.5344342757809704,1.581113553862672,0.9129257641921398
characteristic,2,209.3673469387755,237.19999999999993,20518.0,0.02,1.6553757676186762,1.4627156642947656,1.5072131786723852,0.8291703056768559
characteristic,2,227.5612244897959,266.45,22301.0,0.05,1.5230258732792252,1.3457692480157841,1.3867091161831309,0.6734497816593886
characteristic,2,243.76530612244898,286.29999999999995,23889.0,0.1,1.4217840847251872,1.2563104357654151,1.2945288626564528,0.5347598253275109
characteristic,2,275.11224489795916,323.15,26961.0,0.2,1.2597826490115351,1.113163458328697,1.1470271874188642,0.2664628820960699
static,4,347.8229166666667,438.0,33391.0,,1.0,0.9210565721302147,0.9466323260758888,-0.21275221953188056
reactive,4,320.3645833333333,368.25,30755.0,,1.0857096407088278,1.0,1.027767842627215,0.0
history,4,329.2604166666667,367.5,31609.0,,1.0563763485083362,0.9729823784365212,1.0,-0.06892655367231638
oracle,4,191.30208333333334,211.25,18365.0,,1.818186768309284,1.674652872311462,1.7211543697250204,1.0
characteristic,4,191.30208333333334,211.25,18365.0,0.0,1.818186768309284,1.674652872311462,1.7211543697250204,1.0
characteristic,4,201.40625,220.25,19335.0,0.01,1.7269718127747609,1.5906387380398241,1.634807344194466,0.9217110573042776
characteristic,4,210.17708333333334,245.0,20177.0,0.02,1.6549040987262724,1.524260296377063,1.5665857164097734,0.8537530266343826
characteristic,4,230.60416666666666,269.75,22138.0,0.05,1.5083115005872256,1.3892402204354504,1.4278164242478995,0.6954802259887005
characteristic,4,253.5,299.75,24336.0,0.1,1.3720825115055884,1.2637656147271532,1.2988576594345824,0.5180790960451978
characteristic,4,277.28125,338.25,26619.0,0.2,1.2544047484879222,1.1553777377061498,1.1874600849017618,0.333817594834544
static,8,351.7608695652174,438.0,32362.0,,1.0,0.9311229219454916,0.9396823434892776,-0.17711561382598331
reactive,8,327.5326086956522,375.0,30133.0,,1.0739720572130222,1.0,1.0091925795639332,0.0
history,8,330.54347826086956,368.70000000000005,30410.0,,1.0641894113778363,0.9908911542255837,1.0,-0.022010329757647995
oracle,8,190.7391304347826,211.45,17548.0,,1.8441987690904946,1.7171757465238204,1.732961021198997,1.0
characteristic,8,190.7391304347826,211.45,17548.0,0.0,1.8441987690904946,1.7171757465238204,1.732961021198997,1.0
characteristic,8,203.7826086956522,225.45,18748.0,0.01,1.7261574567953915,1.6072647749093236,1.622039684232985,0.9046483909415971
characteristic,8,212.06521739130434,244.8,19510.0,0.02,1.6587391081496667,1.5444900051255765,1.5586878523833931,0.8441001191895113
characteristic,8,236.84782608695653,269.0,21790.0,0.05,1.4851766865534648,1.3828820559889858,1.3955943093162,0.6629320619785459
characteristic,8,256.2608695652174,302.9,23576.0,0.1,1.3726671191041737,1.2781218187987784,1.2898710553104853,0.5210170838299563
characteristic,8,277.7282608695652,314.45,25551.0,0.2,1.2665649093968925,1.1793276192712614,1.1901686822433564,0.36408422725466827
static,16,353.26190476190476,438.0,29674.0,,1.0,0.9530228482846936,0.9697041180831705,-0.11406595204975042
reactive,16,336.6666666666667,391.7,28280.0,,1.0492927864214994,1.0,1.0175035360678926,0.0
history,16,342.5595238095238,386.4,28775.0,,1.0312423979148566,0.9827975673327541,1.0,-0.0405040504050405
oracle,16,191.17857142857142,211.0,16059.0,,1.847811196213961,1.7610062893081762,1.7918301264088674,1.0
characteristic,16,191.17857142857142,211.0,16059.0,0.0,1.847811196213961,1.7610062893081762,1.7918301264088674,1.0
characteristic,16,203.64285714285714,224.85,17106.0,0.01,1.7347129662106864,1.6532210920144979,1.6821583070267743,0.9143277964160053
characteristic,16,218.85714285714286,249.0,18384.0,0.02,1.6141209747606615,1.5382941688424716,1.5652197563098347,0.8097537026429916
characteristic,16,238.98809523809524,275.85,20075.0,0.05,1.4781569115815691,1.408717310087173,1.4333748443337484,0.6713853203502168
characteristic,16,261.48809523809524,310.25,21965.0,0.1,1.3509674482130662,1.2875028454359208,1.3100386979285226,0.5167334915309713
characteristic,16,285.4642857142857,328.0,23979.0,0.2,1.2374994787105384,1.179365277951541,1.2000083406313857,0.35193519351935193
