scenario,seed,horizon,mean_rollout_mse,mean_graph_mismatch,max_graph_mismatch,exact_graph_fraction,status
extreme3,50000,16,0.0019428957530180924,0.021484375,0.046875,0.25,ok
extreme3,50000,24,0.003402175207156688,0.072265625,0.109375,0.0,ok
extreme3,50000,32,0.004654062242479995,0.1015625,0.21875,0.0,ok
extreme3,50001,16,0.000907231355085969,0.029296875,0.0625,0.125,ok
extreme3,50001,24,0.0015558236118522473,0.04296875,0.09375,0.0,ok
extreme3,50001,32,0.0020710987082566135,0.05859375,0.09375,0.0,ok
extreme3,50002,16,0.0014294695065473206,0.029296875,0.0625,0.125,ok
extreme3,50002,24,0.002338082398637198,0.0625,0.125,0.125,ok
extreme3,50002,32,0.002946072658232879,0.08984375,0.171875,0.0,ok
hard1,50000,16,0.0030112737076706253,0.046875,0.109375,0.0,ok
hard1,50000,24,0.004845280054723844,0.08203125,0.203125,0.0,ok
hard1,50000,32,0.006071820680517703,0.107421875,0.21875,0.0,ok
hard1,50001,16,0.001420947923179483,0.02734375,0.078125,0.25,ok
hard1,50001,24,0.002248195385618601,0.0546875,0.140625,0.125,ok
hard1,50001,32,0.00271691961097531,0.07421875,0.125,0.0,ok
hard1,50002,16,0.00217298288771417,0.02734375,0.078125,0.25,ok
hard1,50002,24,0.0031853739856160246,0.0703125,0.15625,0.0,ok
hard1,50002,32,0.0035759228048846126,0.103515625,0.296875,0.0,ok
hard2,50000,16,0.004852113634115085,0.0546875,0.09375,0.0,ok
hard2,50000,24,0.006559518747963011,0.126953125,0.25,0.0,ok
hard2,50000,32,0.007169784337747842,0.203125,0.453125,0.0,ok
hard2,50001,16,0.00232971491641365,0.03125,0.046875,0.125,ok
hard2,50001,24,0.0030870345362927765,0.08203125,0.140625,0.0,ok
hard2,50001,32,0.0031004717384348623,0.115234375,0.15625,0.0,ok
hard2,50002,16,0.0033974812540691346,0.048828125,0.140625,0.0,ok
hard2,50002,24,0.003951877311919816,0.11328125,0.25,0.0,ok
hard2,50002,32,0.0038287378411041573,0.140625,0.34375,0.0,ok
hard3,50000,16,0.006768004983314313,0.08984375,0.171875,0.0,ok
hard3,50000,24,0.00721430336125195,0.16796875,0.40625,0.0,ok
hard3,50000,32,0.00786367102409713,0.185546875,0.46875,0.0,ok
hard3,50001,16,0.0033299306815024465,0.044921875,0.109375,0.375,ok
hard3,50001,24,0.003364103104104288,0.091796875,0.15625,0.0,ok
hard3,50001,32,0.002963358740089461,0.12890625,0.234375,0.0,ok
hard3,50002,16,0.004571165205561556,0.087890625,0.203125,0.125,ok
hard3,50002,24,0.003928134188754484,0.12109375,0.3125,0.125,ok
hard3,50002,32,0.004602520901244134,0.15234375,0.453125,0.125,ok
hard4,50000,16,0.008085002700681798,0.095703125,0.1875,0.0,ok
hard4,50000,24,0.006966892571654171,0.1875,0.375,0.0,ok
hard4,50000,32,0.010448195040225983,0.255859375,0.609375,0.0,ok
hard4,50001,16,0.004143469763221219,0.091796875,0.171875,0.0,ok
hard4,50001,24,0.00291361801646417,0.12890625,0.234375,0.0,ok
hard4,50001,32,0.0035449273855192587,0.1796875,0.375,0.0,ok
hard4,50002,16,0.005150067750946619,0.11328125,0.203125,0.125,ok
hard4,50002,24,0.0040247227443614975,0.171875,0.390625,0.0,ok
hard4,50002,32,0.007984007650520653,0.193359375,0.453125,0.0,ok
