scenario,horizon,rollout_mse,graph_mismatch,max_graph_mismatch,exact_graph_fraction
extreme3,16,0.001426532204883794,0.026692708333333332,0.0625,0.16666666666666666
extreme3,24,0.002432027072548711,0.059244791666666664,0.125,0.041666666666666664
extreme3,32,0.0032237445363231623,0.08333333333333333,0.21875,0.0
hard1,16,0.0022017348395214262,0.033854166666666664,0.109375,0.16666666666666666
hard1,24,0.0034262831419861564,0.06901041666666667,0.203125,0.041666666666666664
hard1,32,0.004121554365459208,0.09505208333333333,0.296875,0.0
hard2,16,0.003526436601532623,0.044921875,0.140625,0.041666666666666664
hard2,24,0.004532810198725201,0.107421875,0.25,0.0
hard2,32,0.00469966463909562,0.15299479166666666,0.453125,0.0
hard3,16,0.004889700290126105,0.07421875,0.203125,0.16666666666666666
hard3,24,0.004835513551370241,0.126953125,0.40625,0.041666666666666664
hard3,32,0.005143183555143575,0.15559895833333334,0.46875,0.041666666666666664
hard4,16,0.005792846738283212,0.10026041666666667,0.203125,0.041666666666666664
hard4,24,0.004635077777493279,0.16276041666666666,0.390625,0.0
hard4,32,0.007325710025421965,0.20963541666666666,0.609375,0.0
