timestep,policy,total_messages,total_bytes,byte_hops,max_link_load_bytes,mean_active_link_load_bytes,hot_link_count,max_hops,serialization_cycles,estimated_latency_cycles,migration_byte_hops,moved_tasks,realized_objective
4,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
5,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
6,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
7,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
8,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
9,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
10,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
11,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
12,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
13,static,64.0,16384.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
14,static,64.0,16384.0,768.0,256.0,256.0,3,1,4.0,5.0,0.0,0,1792.0
15,static,64.0,16384.0,2816.0,256.0,256.0,11,1,4.0,5.0,0.0,0,3840.0
16,static,64.0,16384.0,6144.0,256.0,256.0,24,7,4.0,11.0,0.0,0,7168.0
17,static,64.0,16384.0,10752.0,256.0,256.0,42,7,4.0,11.0,0.0,0,11776.0
18,static,64.0,16384.0,12544.0,256.0,256.0,49,7,4.0,11.0,0.0,0,13568.0
19,static,64.0,16384.0,13056.0,256.0,256.0,51,7,4.0,11.0,0.0,0,14080.0
20,static,64.0,16384.0,13568.0,256.0,256.0,53,7,4.0,11.0,0.0,0,14592.0
21,static,64.0,16384.0,20480.0,512.0,259.24050632911394,1,8,8.0,16.0,0.0,0,22528.0
22,static,64.0,16384.0,26112.0,512.0,263.75757575757575,3,8,8.0,16.0,0.0,0,28160.0
23,static,64.0,16384.0,26880.0,512.0,263.52941176470586,3,8,8.0,16.0,0.0,0,28928.0
24,static,64.0,16384.0,28672.0,512.0,263.04587155963304,3,8,8.0,16.0,0.0,0,30720.0
25,static,64.0,16384.0,29952.0,512.0,262.7368421052632,3,8,8.0,16.0,0.0,0,32000.0
26,static,64.0,16384.0,31232.0,512.0,260.26666666666665,2,8,8.0,16.0,0.0,0,33280.0
27,static,64.0,16384.0,37888.0,512.0,261.29655172413794,3,8,8.0,16.0,0.0,0,39936.0
28,static,64.0,16384.0,40704.0,512.0,260.9230769230769,3,8,8.0,16.0,0.0,0,42752.0
29,static,64.0,16384.0,41984.0,512.0,259.1604938271605,2,8,8.0,16.0,0.0,0,44032.0
30,static,64.0,16384.0,44288.0,512.0,258.99415204678365,2,8,8.0,16.0,0.0,0,46336.0
31,static,64.0,16384.0,44544.0,512.0,258.9767441860465,2,8,8.0,16.0,0.0,0,46592.0
32,static,64.0,16384.0,46336.0,512.0,260.314606741573,3,8,8.0,16.0,0.0,0,48384.0
