policy,bandwidth,beta,total_byte_hops,mean_max_link_load,p95_max_link_load,mean_latency,p95_latency,total_migration_byte_hops,total_objective,total_moved_tasks,objective_improvement_vs_reactive,byte_hop_improvement_vs_reactive,latency_improvement_vs_reactive,oracle_capture_vs_reactive
characteristic,16.0,0.0,4520960.0,1146.6666666666667,1856.0,80.85416666666667,127.5,2065920.0,5553920.0,2914,1.6334639317815165,1.7617214043035108,1.4474362277763462,0.7990116279069768
characteristic,32.0,0.0,4520960.0,1146.6666666666667,1856.0,45.020833333333336,69.5,2065920.0,5553920.0,2914,1.6334639317815165,1.7617214043035108,1.427811198519204,0.7990116279069768
characteristic,64.0,0.0,4520960.0,1146.6666666666667,1856.0,27.104166666666668,39.5,2065920.0,5553920.0,2914,1.6334639317815165,1.7617214043035108,1.3985395849346656,0.7990116279069768
characteristic,128.0,0.0,4520960.0,1146.6666666666667,1856.0,18.145833333333332,25.0,2065920.0,5553920.0,2914,1.6334639317815165,1.7617214043035108,1.362227324913892,0.7990116279069768
characteristic,256.0,0.0,4520960.0,1146.6666666666667,1856.0,13.666666666666666,18.0,2065920.0,5553920.0,2914,1.6334639317815165,1.7617214043035108,1.326219512195122,0.7990116279069768
characteristic,16.0,1.0,4574464.0,1101.3333333333333,1792.0,78.51041666666667,121.25,2295296.0,5827840.0,2951,1.5996925104326818,1.746600257429067,1.4339923046304894,0.7409095842830783
characteristic,32.0,1.0,4574464.0,1101.3333333333333,1792.0,44.09375,65.25,2295296.0,5827840.0,2951,1.5996925104326818,1.746600257429067,1.406094968107725,0.7409095842830783
characteristic,64.0,1.0,4574464.0,1101.3333333333333,1792.0,26.885416666666668,38.0,2295296.0,5827840.0,2951,1.5996925104326818,1.746600257429067,1.3653622626888804,0.7409095842830783
characteristic,128.0,1.0,4574464.0,1101.3333333333333,1792.0,18.28125,25.25,2295296.0,5827840.0,2951,1.5996925104326818,1.746600257429067,1.3162393162393162,0.7409095842830783
characteristic,256.0,1.0,4574464.0,1101.3333333333333,1792.0,13.979166666666666,19.0,2295296.0,5827840.0,2951,1.5996925104326818,1.746600257429067,1.2690014903129656,0.7409095842830783
characteristic,16.0,2.0,4619776.0,1080.0,1600.0,76.95833333333333,112.0,2234368.0,5944320.0,2929,1.5640826873385012,1.6945583508810818,1.4440985381700056,0.7485854717951649
characteristic,32.0,2.0,4619776.0,1080.0,1600.0,43.208333333333336,62.0,2234368.0,5944320.0,2929,1.5640826873385012,1.6945583508810818,1.4148987463837992,0.7485854717951649
characteristic,64.0,2.0,4619776.0,1080.0,1600.0,26.333333333333332,37.0,2234368.0,5944320.0,2929,1.5640826873385012,1.6945583508810818,1.3722310126582278,0.7485854717951649
characteristic,128.0,2.0,4619776.0,1080.0,1600.0,17.895833333333332,24.0,2234368.0,5944320.0,2929,1.5640826873385012,1.6945583508810818,1.320721769499418,0.7485854717951649
characteristic,256.0,2.0,4619776.0,1080.0,1600.0,13.677083333333334,17.25,2234368.0,5944320.0,2929,1.5640826873385012,1.6945583508810818,1.2711348057882712,0.7485854717951649
characteristic,16.0,4.0,4533504.0,1045.3333333333333,1536.0,74.875,109.0,2361344.0,6115584.0,3032,1.5583741470969903,1.7190129312778812,1.466750139120757,0.7334359707483368
characteristic,32.0,4.0,4533504.0,1045.3333333333333,1536.0,42.208333333333336,61.0,2361344.0,6115584.0,3032,1.5583741470969903,1.7190129312778812,1.4350937808489634,0.7334359707483368
characteristic,64.0,4.0,4533504.0,1045.3333333333333,1536.0,25.875,37.0,2361344.0,6115584.0,3032,1.5583741470969903,1.7190129312778812,1.3892914653784219,0.7334359707483368
characteristic,128.0,4.0,4533504.0,1045.3333333333333,1536.0,17.708333333333332,25.0,2361344.0,6115584.0,3032,1.5583741470969903,1.7190129312778812,1.3347058823529414,0.7334359707483368
characteristic,256.0,4.0,4533504.0,1045.3333333333333,1536.0,13.625,18.25,2361344.0,6115584.0,3032,1.5583741470969903,1.7190129312778812,1.2828746177370032,0.7334359707483368
characteristic,16.0,8.0,4391936.0,1066.6666666666667,1792.0,75.71875,119.5,2165760.0,6294016.0,2974,1.6418286829903197,1.7973303800419678,1.4524693905626633,0.7842552557029969
characteristic,32.0,8.0,4391936.0,1066.6666666666667,1792.0,42.385416666666664,63.5,2165760.0,6294016.0,2974,1.6418286829903197,1.7973303800419678,1.4308183828950602,0.7842552557029969
characteristic,64.0,8.0,4391936.0,1066.6666666666667,1792.0,25.71875,37.0,2165760.0,6294016.0,2974,1.6418286829903197,1.7973303800419678,1.3989469420818144,0.7842552557029969
characteristic,128.0,8.0,4391936.0,1066.6666666666667,1792.0,17.385416666666668,23.0,2165760.0,6294016.0,2974,1.6418286829903197,1.7973303800419678,1.3600958657878968,0.7842552557029969
characteristic,256.0,8.0,4391936.0,1066.6666666666667,1792.0,13.21875,17.0,2165760.0,6294016.0,2974,1.6418286829903197,1.7973303800419678,1.3223010244286841,0.7842552557029969
