policy,bandwidth,beta,total_byte_hops,mean_max_link_load,p95_max_link_load,mean_latency,p95_latency,total_migration_byte_hops,total_objective,total_moved_tasks,objective_improvement_vs_reactive,byte_hop_improvement_vs_reactive,latency_improvement_vs_reactive,oracle_capture_vs_reactive
static,16.0,0.0,8548096.0,1946.6666666666667,3328.0,133.22916666666666,219.0,0.0,8548096.0,0,1.0613039441765746,0.9317480758288161,0.8784206411258797,0.11901162790697674
reactive,16.0,0.0,7964672.0,1688.0,2816.0,117.03125,186.0,2214912.0,9072128.0,2949,1.0,1.0,1.0,0.0
history,16.0,0.0,7792128.0,1520.0,2304.0,106.52083333333333,154.25,4160512.0,9872384.0,4626,0.9189399439892127,1.0221433734148104,1.0986700567181695,-0.18174418604651163
characteristic,16.0,0.0,4520960.0,1146.6666666666667,1856.0,80.85416666666667,127.5,2065920.0,5553920.0,2914,1.6334639317815165,1.7617214043035108,1.4474362277763462,0.7990116279069768
oracle,16.0,0.0,3500544.0,954.6666666666666,1536.0,67.02083333333333,102.0,2336768.0,4668928.0,3033,1.9430858646781446,2.2752669299400323,1.7461921044451354,1.0
static,32.0,0.0,8548096.0,1946.6666666666667,3328.0,72.39583333333333,115.0,0.0,8548096.0,0,1.0613039441765746,0.9317480758288161,0.8879136690647482,0.11901162790697674
reactive,32.0,0.0,7964672.0,1688.0,2816.0,64.28125,98.0,2214912.0,9072128.0,2949,1.0,1.0,1.0,0.0
history,32.0,0.0,7792128.0,1520.0,2304.0,59.020833333333336,82.25,4160512.0,9872384.0,4626,0.9189399439892127,1.0221433734148104,1.0891281327214966,-0.18174418604651163
characteristic,32.0,0.0,4520960.0,1146.6666666666667,1856.0,45.020833333333336,69.5,2065920.0,5553920.0,2914,1.6334639317815165,1.7617214043035108,1.427811198519204,0.7990116279069768
oracle,32.0,0.0,3500544.0,954.6666666666666,1536.0,37.1875,54.0,2336768.0,4668928.0,3033,1.9430858646781446,2.2752669299400323,1.7285714285714286,1.0
static,64.0,0.0,8548096.0,1946.6666666666667,3328.0,41.979166666666664,63.0,0.0,8548096.0,0,1.0613039441765746,0.9317480758288161,0.9029776674937966,0.11901162790697674
reactive,64.0,0.0,7964672.0,1688.0,2816.0,37.90625,54.0,2214912.0,9072128.0,2949,1.0,1.0,1.0,0.0
history,64.0,0.0,7792128.0,1520.0,2304.0,35.270833333333336,46.25,4160512.0,9872384.0,4626,0.9189399439892127,1.0221433734148104,1.0747194329592438,-0.18174418604651163
characteristic,64.0,0.0,4520960.0,1146.6666666666667,1856.0,27.104166666666668,39.5,2065920.0,5553920.0,2914,1.6334639317815165,1.7617214043035108,1.3985395849346656,0.7990116279069768
oracle,64.0,0.0,3500544.0,954.6666666666666,1536.0,22.270833333333332,30.0,2336768.0,4668928.0,3033,1.9430858646781446,2.2752669299400323,1.7020579981290926,1.0
static,128.0,0.0,8548096.0,1946.6666666666667,3328.0,26.770833333333332,37.0,0.0,8548096.0,0,1.0613039441765746,0.9317480758288161,0.9233463035019456,0.11901162790697674
reactive,128.0,0.0,7964672.0,1688.0,2816.0,24.71875,32.0,2214912.0,9072128.0,2949,1.0,1.0,1.0,0.0
history,128.0,0.0,7792128.0,1520.0,2304.0,23.395833333333332,29.0,4160512.0,9872384.0,4626,0.9189399439892127,1.0221433734148104,1.0565449688334818,-0.18174418604651163
characteristic,128.0,0.0,4520960.0,1146.6666666666667,1856.0,18.145833333333332,25.0,2065920.0,5553920.0,2914,1.6334639317815165,1.7617214043035108,1.362227324913892,0.7990116279069768
oracle,128.0,0.0,3500544.0,954.6666666666666,1536.0,14.8125,19.0,2336768.0,4668928.0,3033,1.9430858646781446,2.2752669299400323,1.6687763713080168,1.0
static,256.0,0.0,8548096.0,1946.6666666666667,3328.0,19.166666666666668,24.25,0.0,8548096.0,0,1.0613039441765746,0.9317480758288161,0.9456521739130435,0.11901162790697674
reactive,256.0,0.0,7964672.0,1688.0,2816.0,18.125,22.0,2214912.0,9072128.0,2949,1.0,1.0,1.0,0.0
history,256.0,0.0,7792128.0,1520.0,2304.0,17.458333333333332,20.0,4160512.0,9872384.0,4626,0.9189399439892127,1.0221433734148104,1.0381861575178999,-0.18174418604651163
characteristic,256.0,0.0,4520960.0,1146.6666666666667,1856.0,13.666666666666666,18.0,2065920.0,5553920.0,2914,1.6334639317815165,1.7617214043035108,1.326219512195122,0.7990116279069768
oracle,256.0,0.0,3500544.0,954.6666666666666,1536.0,11.083333333333334,14.0,2336768.0,4668928.0,3033,1.9430858646781446,2.2752669299400323,1.6353383458646615,1.0
static,16.0,1.0,8548096.0,1946.6666666666667,3328.0,133.22916666666666,219.0,0.0,8734976.0,0,1.0672899387473989,0.9346829984127459,0.8450351837372948,0.12460653424508847
reactive,16.0,1.0,7989760.0,1618.6666666666667,2560.0,112.58333333333333,170.25,2355200.0,9322752.0,2988,1.0,1.0,1.0,0.0
history,16.0,1.0,7757568.0,1549.3333333333333,2304.0,108.10416666666667,157.0,4289024.0,10050816.0,4655,0.9275617024528158,1.02993102993103,1.0414338022740413,-0.15434711820253988
characteristic,16.0,1.0,4574464.0,1101.3333333333333,1792.0,78.51041666666667,121.25,2295296.0,5827840.0,2951,1.5996925104326818,1.746600257429067,1.4339923046304894,0.7409095842830783
oracle,16.0,1.0,3395072.0,794.6666666666666,1024.0,57.03125,73.0,2268672.0,4605696.0,3058,2.024178756044689,2.3533403709847684,1.9740639269406393,1.0
static,32.0,1.0,8548096.0,1946.6666666666667,3328.0,72.39583333333333,115.0,0.0,8734976.0,0,1.0672899387473989,0.9346829984127459,0.8564028776978417,0.12460653424508847
reactive,32.0,1.0,7989760.0,1618.6666666666667,2560.0,62.0,90.25,2355200.0,9322752.0,2988,1.0,1.0,1.0,0.0
history,32.0,1.0,7757568.0,1549.3333333333333,2304.0,59.6875,85.0,4289024.0,10050816.0,4655,0.9275617024528158,1.02993102993103,1.0387434554973822,-0.15434711820253988
characteristic,32.0,1.0,4574464.0,1101.3333333333333,1792.0,44.09375,65.25,2295296.0,5827840.0,2951,1.5996925104326818,1.746600257429067,1.406094968107725,0.7409095842830783
oracle,32.0,1.0,3395072.0,794.6666666666666,1024.0,32.197916666666664,41.0,2268672.0,4605696.0,3058,2.024178756044689,2.3533403709847684,1.9255904238110646,1.0
static,64.0,1.0,8548096.0,1946.6666666666667,3328.0,41.979166666666664,63.0,0.0,8734976.0,0,1.0672899387473989,0.9346829984127459,0.8744416873449132,0.12460653424508847
reactive,64.0,1.0,7989760.0,1618.6666666666667,2560.0,36.708333333333336,50.25,2355200.0,9322752.0,2988,1.0,1.0,1.0,0.0
history,64.0,1.0,7757568.0,1549.3333333333333,2304.0,35.479166666666664,49.0,4289024.0,10050816.0,4655,0.9275617024528158,1.02993102993103,1.0346447445684088,-0.15434711820253988
characteristic,64.0,1.0,4574464.0,1101.3333333333333,1792.0,26.885416666666668,38.0,2295296.0,5827840.0,2951,1.5996925104326818,1.746600257429067,1.3653622626888804,0.7409095842830783
oracle,64.0,1.0,3395072.0,794.6666666666666,1024.0,19.78125,25.0,2268672.0,4605696.0,3058,2.024178756044689,2.3533403709847684,1.855713533438652,1.0
static,128.0,1.0,8548096.0,1946.6666666666667,3328.0,26.770833333333332,37.0,0.0,8734976.0,0,1.0672899387473989,0.9346829984127459,0.8988326848249028,0.12460653424508847
reactive,128.0,1.0,7989760.0,1618.6666666666667,2560.0,24.0625,30.25,2355200.0,9322752.0,2988,1.0,1.0,1.0,0.0
history,128.0,1.0,7757568.0,1549.3333333333333,2304.0,23.375,30.25,4289024.0,10050816.0,4655,0.9275617024528158,1.02993102993103,1.0294117647058822,-0.15434711820253988
characteristic,128.0,1.0,4574464.0,1101.3333333333333,1792.0,18.28125,25.25,2295296.0,5827840.0,2951,1.5996925104326818,1.746600257429067,1.3162393162393162,0.7409095842830783
oracle,128.0,1.0,3395072.0,794.6666666666666,1024.0,13.572916666666666,17.0,2268672.0,4605696.0,3058,2.024178756044689,2.3533403709847684,1.772831926323868,1.0
static,256.0,1.0,8548096.0,1946.6666666666667,3328.0,19.166666666666668,24.25,0.0,8734976.0,0,1.0672899387473989,0.9346829984127459,0.9255434782608695,0.12460653424508847
reactive,256.0,1.0,7989760.0,1618.6666666666667,2560.0,17.739583333333332,21.0,2355200.0,9322752.0,2988,1.0,1.0,1.0,0.0
