timestep,policy,total_messages,total_bytes,byte_hops,max_link_load_bytes,mean_active_link_load_bytes,hot_link_count,max_hops,serialization_cycles,estimated_latency_cycles,migration_byte_hops,moved_tasks,realized_objective
4,static,64.0,16384.0,76032.0,1024.0,417.75824175824175,7,10,16.0,26.0,0.0,0,80128.0
5,static,64.0,16384.0,67584.0,768.0,344.81632653061223,18,9,12.0,21.0,0.0,0,70656.0
6,static,64.0,16384.0,55296.0,768.0,308.91620111731845,6,9,12.0,21.0,0.0,0,58368.0
7,static,64.0,16384.0,64512.0,512.0,314.69268292682926,47,13,8.0,21.0,0.0,0,66560.0
8,static,64.0,16384.0,67072.0,768.0,338.74747474747477,11,12,12.0,24.0,0.0,0,70144.0
9,static,64.0,16384.0,73984.0,1024.0,383.33678756476684,5,13,16.0,29.0,0.0,0,78080.0
10,static,64.0,16384.0,89088.0,1024.0,399.49775784753365,5,12,16.0,28.0,0.0,0,93184.0
11,static,64.0,16384.0,93952.0,1024.0,423.2072072072072,3,11,16.0,27.0,0.0,0,98048.0
12,static,64.0,16384.0,88320.0,1024.0,422.5837320574163,4,12,16.0,28.0,0.0,0,92416.0
13,static,64.0,16384.0,87552.0,1024.0,442.1818181818182,4,13,16.0,29.0,0.0,0,91648.0
14,static,64.0,16384.0,93184.0,1024.0,441.6303317535545,4,14,16.0,30.0,0.0,0,97280.0
15,static,64.0,16384.0,94976.0,768.0,458.82125603864733,29,14,12.0,26.0,0.0,0,98048.0
16,static,64.0,16384.0,96000.0,1024.0,454.97630331753555,4,10,16.0,26.0,0.0,0,100096.0
17,static,64.0,16384.0,96768.0,1024.0,469.747572815534,4,12,16.0,28.0,0.0,0,100864.0
18,static,64.0,16384.0,96512.0,1024.0,492.40816326530614,4,11,16.0,27.0,0.0,0,100608.0
19,static,64.0,16384.0,102656.0,1024.0,458.2857142857143,4,12,16.0,28.0,0.0,0,106752.0
20,static,64.0,16384.0,101376.0,1024.0,492.11650485436894,2,12,16.0,28.0,0.0,0,105472.0
