scenario,seed,horizon,rollout_mse,graph_mismatch
id,50000,1,1.0313240839110449e-07,0.0
id,50000,2,4.047242860849565e-07,0.0
id,50000,4,1.5618534376926618e-06,0.0
id,50000,8,5.850133391049894e-06,0.0
id,50001,1,4.4923435638111187e-08,0.0
id,50001,2,1.73991802299156e-07,0.0
id,50001,4,6.535127141660269e-07,0.00390625
id,50001,8,2.3215506814722175e-06,0.0
id,50002,1,7.651694744481574e-08,0.0
id,50002,2,2.980709936650783e-07,0.0
id,50002,4,1.1311107783740226e-06,0.0
id,50002,8,4.101040076420759e-06,0.0
id,50003,1,4.936871622618355e-08,0.0
id,50003,2,1.9536030393396686e-07,0.0
id,50003,4,7.661841436856776e-07,0.0
id,50003,8,2.954844546820823e-06,0.0
mild,50000,1,2.1265562466510346e-07,0.0
mild,50000,2,8.341317254689784e-07,0.0
mild,50000,4,3.2129311193784815e-06,0.0
mild,50000,8,1.19663413897797e-05,0.0
mild,50001,1,1.33320035899942e-07,0.0
mild,50001,2,5.189050753529045e-07,0.0
mild,50001,4,1.9692782871061354e-06,0.0
mild,50001,8,7.120677423699817e-06,0.0
mild,50002,1,2.579273470360022e-07,0.0
mild,50002,2,1.0064626678740751e-06,0.0
mild,50002,4,3.835714778688271e-06,0.0
mild,50002,8,1.3969269957669894e-05,0.0
mild,50003,1,2.8794981687951804e-07,0.0
mild,50003,2,1.1412259510734657e-06,0.0
mild,50003,4,4.484827172746009e-06,0.0
mild,50003,8,1.7345666492474265e-05,0.00390625
moderate,50000,1,5.336317556725589e-07,0.0
moderate,50000,2,2.0956841808583704e-06,0.0
moderate,50000,4,8.078405585365545e-06,0.0
moderate,50000,8,3.010579575857264e-05,0.0
moderate,50001,1,3.1383449083932646e-07,0.0
moderate,50001,2,1.223533956817846e-06,0.0
moderate,50001,4,4.653218184103025e-06,0.0
moderate,50001,8,1.6874750599527033e-05,0.0
moderate,50002,1,5.716763382679346e-07,0.0
moderate,50002,2,2.231156770449161e-06,0.0
moderate,50002,4,8.50623735004774e-06,0.0
moderate,50002,8,3.097066041846119e-05,0.0
moderate,50003,1,7.482965855842849e-07,0.0
moderate,50003,2,2.964908219382778e-06,0.0
moderate,50003,4,1.163739671028452e-05,0.0
moderate,50003,8,4.4897730731463525e-05,0.0
severe,50000,1,1.6487326774949906e-06,0.0
severe,50000,2,6.466196623478027e-06,0.0
severe,50000,4,2.488153290869377e-05,0.0
severe,50000,8,9.224071436619852e-05,0.0
severe,50001,1,8.882840063506592e-07,0.0
severe,50001,2,3.462332699655235e-06,0.0
severe,50001,4,1.3158563433535164e-05,0.0
severe,50001,8,4.757358829010627e-05,0.0
severe,50002,1,1.5017000976058625e-06,0.0
severe,50002,2,5.857943449427694e-06,0.0
severe,50002,4,2.2293279698715196e-05,0.0
severe,50002,8,8.07726091807126e-05,0.0
severe,50003,1,2.220526994278771e-06,0.0
severe,50003,2,8.775410378802917e-06,0.0
severe,50003,4,3.4281496937182965e-05,0.0
severe,50003,8,0.00013090993161313236,0.0
