timestep,policy,actual_cost,predicted_cost,placement_scheduled,activation_target
0,static,126.0,126.0,True,2
1,static,220.0,126.0,True,3
2,static,274.0,126.0,True,4
3,static,300.0,126.0,True,5
4,static,297.0,126.0,True,6
5,static,264.0,126.0,True,7
6,static,216.0,126.0,True,8
7,static,252.0,126.0,True,9
8,static,262.0,126.0,True,10
9,static,289.0,126.0,True,11
10,static,348.0,126.0,True,12
11,static,367.0,126.0,True,13
12,static,345.0,126.0,True,14
13,static,342.0,126.0,True,15
14,static,364.0,126.0,True,16
15,static,371.0,126.0,True,17
16,static,375.0,126.0,True,18
17,static,378.0,126.0,True,19
18,static,377.0,126.0,True,20
19,static,401.0,126.0,True,21
20,static,396.0,126.0,True,22
21,static,394.0,126.0,True,23
22,static,411.0,126.0,True,24
23,static,419.0,126.0,True,25
24,static,432.0,126.0,True,26
25,static,426.0,126.0,True,27
26,static,418.0,126.0,True,28
27,static,425.0,126.0,True,29
28,static,417.0,126.0,True,30
29,static,418.0,126.0,True,31
30,static,438.0,126.0,True,32
31,static,439.0,126.0,True,33
32,static,452.0,126.0,True,34
33,static,434.0,126.0,True,35
34,static,417.0,126.0,True,36
35,static,386.0,126.0,True,37
36,static,395.0,126.0,True,38
37,static,438.0,126.0,True,39
38,static,447.0,126.0,True,40
39,static,439.0,126.0,True,41
40,static,410.0,126.0,True,42
41,static,390.0,126.0,True,43
42,static,411.0,126.0,True,44
43,static,414.0,126.0,True,45
44,static,409.0,126.0,True,46
45,static,386.0,126.0,True,47
46,static,354.0,126.0,True,48
47,static,348.0,126.0,True,49
48,static,332.0,126.0,True,50
49,static,336.0,126.0,True,51
50,static,326.0,126.0,True,52
51,static,301.0,126.0,True,53
52,static,262.0,126.0,True,54
53,static,260.0,126.0,True,55
54,static,268.0,126.0,True,56
55,static,286.0,126.0,True,57
56,static,279.0,126.0,True,58
57,static,260.0,126.0,True,59
58,static,271.0,126.0,True,60
59,static,287.0,126.0,True,61
60,static,302.0,126.0,True,62
61,static,300.0,126.0,True,63
62,static,300.0,126.0,True,64
63,static,296.0,126.0,True,65
64,static,300.0,126.0,True,66
65,static,323.0,126.0,True,67
66,static,314.0,126.0,True,68
67,static,324.0,126.0,True,69
68,static,306.0,126.0,True,70
69,static,308.0,126.0,True,71
70,static,306.0,126.0,True,72
71,static,296.0,126.0,True,73
72,static,300.0,126.0,True,74
73,static,315.0,126.0,True,75
74,static,329.0,126.0,True,76
75,static,323.0,126.0,True,77
76,static,315.0,126.0,True,78
77,static,320.0,126.0,True,79
78,static,308.0,126.0,True,80
79,static,305.0,126.0,True,81
80,static,315.0,126.0,True,82
81,static,331.0,126.0,True,83
82,static,346.0,126.0,True,84
83,static,337.0,126.0,True,85
84,static,335.0,126.0,True,86
85,static,325.0,126.0,True,87
86,static,315.0,126.0,True,88
87,static,309.0,126.0,True,89
88,static,339.0,126.0,True,90
89,static,360.0,126.0,True,91
90,static,359.0,126.0,True,92
91,static,372.0,126.0,True,93
92,static,372.0,126.0,True,94
93,static,357.0,126.0,True,95
94,static,355.0,126.0,True,96
95,static,363.0,126.0,True,97
96,static,338.0,126.0,True,98
97,static,356.0,126.0,True,99
98,static,368.0,,False,-1
99,static,370.0,,False,-1
0,reactive,126.0,126.0,True,2
1,reactive,220.0,126.0,True,3
2,reactive,274.0,180.0,True,4
3,reactive,300.0,180.0,True,5
4,reactive,284.0,203.0,True,6
5,reactive,274.0,190.0,True,7
6,reactive,278.0,183.0,True,8
7,reactive,315.0,185.0,True,9
8,reactive,335.0,197.0,True,10
9,reactive,305.0,181.0,True,11
10,reactive,382.0,189.0,True,12
11,reactive,346.0,203.0,True,13
12,reactive,365.0,199.0,True,14
13,reactive,328.0,202.0,True,15
14,reactive,357.0,186.0,True,16
15,reactive,354.0,194.0,True,17
16,reactive,335.0,196.0,True,18
17,reactive,330.0,208.0,True,19
18,reactive,365.0,193.0,True,20
19,reactive,330.0,204.0,True,21
20,reactive,334.0,208.0,True,22
21,reactive,347.0,193.0,True,23
22,reactive,349.0,196.0,True,24
23,reactive,328.0,181.0,True,25
24,reactive,378.0,189.0,True,26
25,reactive,339.0,216.0,True,27
26,reactive,339.0,219.0,True,28
27,reactive,314.0,198.0,True,29
28,reactive,330.0,207.0,True,30
29,reactive,335.0,206.0,True,31
30,reactive,343.0,206.0,True,32
31,reactive,347.0,200.0,True,33
32,reactive,269.0,188.0,True,34
33,reactive,277.0,184.0,True,35
34,reactive,286.0,202.0,True,36
35,reactive,319.0,218.0,True,37
36,reactive,338.0,207.0,True,38
37,reactive,324.0,201.0,True,39
38,reactive,335.0,188.0,True,40
39,reactive,335.0,201.0,True,41
40,reactive,370.0,195.0,True,42
41,reactive,368.0,188.0,True,43
