policy,migration_lambda,total_comm_cost,total_migration_cost,total_weighted_cost,mean_moved_tasks,total_moved_task_events,p95_total_step_cost,improvement_vs_static,improvement_vs_reactive,improvement_vs_history,oracle_capture_vs_reactive
static,0.0,33707.0,128.0,33707.0,0.3333333333333333,32,450.5,1.0,0.9091286676358027,0.9106713738985968,-0.15761848402202439
reactive,0.0,30644.0,29984.0,30644.0,61.541666666666664,5908,368.0,1.0999543140582169,1.0,1.001696906409085,0.0
history,0.0,30696.0,30572.0,30696.0,61.510416666666664,5905,365.75,1.0980909564764139,0.9983059682043263,1.0,-0.002675860649410796
characteristic,0.0,16827.0,32120.0,16827.0,62.760416666666664,6025,230.5,2.003149699887086,1.8211208177334046,1.8242110893207346,0.711007049863634
oracle,0.0,11211.0,32074.0,11211.0,62.625,6012,135.25,3.0066006600660065,2.7333868521987332,2.738025153866738,1.0
static,0.1,33707.0,128.0,33719.8,0.3333333333333333,32,450.5,1.0,0.9902905711184524,1.001571776819554,-0.01696232436689232
reactive,0.1,30299.0,30934.0,33392.399999999994,61.625,5916,398.59999999999997,1.0098046262023697,1.0,1.011391813706113,0.0
history,0.1,30718.0,30548.0,33772.8,61.489583333333336,5903,408.45,0.9984306897858631,0.9887364980102328,1.0,-0.01970821071828288
characteristic,0.1,16666.0,30594.0,19725.399999999998,62.09375,5961,252.6,1.7094608981313437,1.6928630091151509,1.7121477891449606,0.7080760144236747
oracle,0.1,10951.0,31398.0,14090.8,62.760416666666664,6025,164.05,2.3930365912510294,2.3698015726573365,2.3967979106935027,1.0
static,0.25,33707.0,128.0,33739.0,0.3333333333333333,32,450.5,1.0,1.1277305195767509,1.1448027505260974,0.22409713735992304
reactive,0.25,30493.0,30222.0,38048.5,61.5625,5910,446.0,0.8867366650459282,1.0,1.0151385731369174,0.0
history,0.25,30877.0,30990.0,38624.5,61.78125,5931,453.25,0.8735129257336665,0.9850871855946355,1.0,-0.029952419333870675
characteristic,0.25,16660.0,30888.0,24382.0,62.489583333333336,5999,297.375,1.3837667131490443,1.5605159543925846,1.5841399392994833,0.710667949351291
oracle,0.25,11127.0,30764.0,18818.0,62.333333333333336,5984,220.25,1.7929110426187693,2.021920501647359,2.05252949303858,1.0
static,0.5,33391.0,0.0,33391.0,0.0,0,438.0,1.0,1.3465305022311402,1.3613548560989488,0.7039605767475817
reactive,0.5,29967.0,29990.0,44962.0,60.791666666666664,5836,530.75,0.7426493483385971,1.0,1.0110092967394688,0.0
history,0.5,30539.0,29836.0,45457.0,61.260416666666664,5881,537.5,0.7345623336339837,0.9891105880282465,1.0,-0.030114984486220114
characteristic,0.5,18035.0,29380.0,32725.0,61.677083333333336,5921,400.75,1.0203514132925897,1.3739343009931244,1.3890603514132926,0.7444789195108596
oracle,0.5,13247.0,30556.0,28525.0,61.895833333333336,5942,326.5,1.1705872042068362,1.5762313759859772,1.593584574934268,1.0
static,1.0,33391.0,0.0,33391.0,0.0,0,438.0,1.0,1.7241172771105986,1.8047976999790363,2.7994674076646984
reactive,1.0,30194.0,27376.0,57570.0,58.177083333333336,5585,679.75,0.5800069480632274,1.0,1.0467952058363732,0.0
history,1.0,30344.0,29920.0,60264.0,61.010416666666664,5857,705.0,0.5540787202973583,0.9552966945440063,1.0,-0.3119138589788121
characteristic,1.0,22833.0,28430.0,51263.0,60.28125,5787,613.0,0.6513664826483039,1.1230322064647016,1.1755847297270936,0.7302304040754892
oracle,1.0,19695.0,29238.0,48933.0,60.0,5760,590.25,0.6823820325751537,1.17650665195267,1.2315615228986574,1.0
static,2.0,33391.0,0.0,33391.0,0.0,0,438.0,1.0,1.5234045101973586,2.7151028720313857,11.040429564118762
reactive,2.0,32328.0,9270.0,50868.0,29.84375,2865,645.5,0.6564244711803098,1.0,1.7822599669733428,0.0
history,2.0,30376.0,30142.0,90660.0,61.09375,5865,1072.5,0.3683101698654313,0.5610853739245533,1.0,-25.137081490840178
characteristic,2.0,30039.0,11778.0,53595.0,34.40625,3303,691.25,0.6230245358708835,0.9491183879093199,1.6915757066890569,-1.722678458622868
oracle,2.0,29085.0,10100.0,49285.0,32.322916666666664,3103,609.0,0.6775083696865172,1.0321193060768996,1.8395049203611646,1.0
static,4.0,33391.0,0.0,33391.0,0.0,0,438.0,1.0,0.9993111916384655,4.421460872690246,-0.21100917431192662
reactive,4.0,33264.0,26.0,33368.0,0.0625,6,438.0,1.0006892831455287,1.0,4.424508511148406,0.0
history,4.0,30437.0,29300.0,147637.0,60.46875,5805,1758.75,0.2261695916335336,0.22601380412769156,1.0,-1048.3394495412845
characteristic,4.0,32954.0,116.0,33418.0,0.4270833333333333,41,438.0,0.9991920521874439,0.9985038003471183,4.4178885630498534,-0.45871559633027525
oracle,4.0,32915.0,86.0,33259.0,0.2604166666666667,25,438.0,1.0039688505366968,1.0032773083977269,4.439008990047807,1.0
