policy,migration_lambda,total_comm_cost,total_migration_cost,total_weighted_cost,mean_moved_tasks,total_moved_task_events,p95_total_step_cost,improvement_vs_static,improvement_vs_reactive,improvement_vs_history,oracle_capture_vs_reactive
static,0.0,33391.0,0.0,33391.0,0.0,0,438.0,1.0,0.9134197837740708,0.9186607169596598,-0.14779408005725678
reactive,0.0,30500.0,15940.0,30500.0,43.854166666666664,4210,383.25,1.0947868852459017,1.0,1.0057377049180327,0.0
history,0.0,30675.0,20018.0,30675.0,51.708333333333336,4964,370.5,1.0885411572942136,0.9942950285248574,1.0,-0.00894637288482184
characteristic,0.0,10939.0,16126.0,10939.0,44.5625,4278,132.25,3.052472803729774,2.788189048359082,2.804186854374257,1.0
oracle,0.0,10939.0,16126.0,10939.0,44.5625,4278,132.25,3.052472803729774,2.788189048359082,2.804186854374257,1.0
static,0.1,33391.0,0.0,33391.0,0.0,0,438.0,1.0,0.9606540684615615,0.9765924949836782,-0.06590286625801334
reactive,0.1,30642.0,14352.0,32077.2,43.677083333333336,4193,405.85,1.0409574401755763,1.0,1.0165912236728891,0.0
history,0.1,30800.0,18094.0,32609.399999999998,50.114583333333336,4811,406.55,1.0239685489460095,0.9836795525216656,1.0,-0.0266962288190855
characteristic,0.1,10722.0,14198.0,12141.8,43.270833333333336,4154,152.25,2.7500864781169185,2.641881763824145,2.685713815085078,1.0
oracle,0.1,10722.0,14198.0,12141.8,43.270833333333336,4154,152.25,2.7500864781169185,2.641881763824145,2.685713815085078,1.0
static,0.25,33391.0,0.0,33391.0,0.0,0,438.0,1.0,1.0078913479680154,1.0442634242760025,0.013674814468835955
reactive,0.25,30502.0,12610.0,33654.5,41.395833333333336,3974,446.375,0.9921704378314936,1.0,1.0360872988753362,0.0
history,0.25,30371.0,17992.0,34869.0,50.520833333333336,4850,435.5,0.9576127792595142,0.9651696349192692,1.0,-0.06302869894649436
characteristic,0.25,11172.0,12854.0,14385.5,43.125,4140,183.75,2.321156720308644,2.339473775676897,2.4238990650307604,1.0
oracle,0.25,11172.0,12854.0,14385.5,43.125,4140,183.75,2.321156720308644,2.339473775676897,2.4238990650307604,1.0
static,0.5,33391.0,0.0,33391.0,0.0,0,438.0,1.0,1.0613039441765746,1.1549219849660088,0.11901162790697674
reactive,0.5,31112.0,8652.0,35438.0,30.71875,2949,471.0,0.9422371465658332,1.0,1.0882103956205202,0.0
history,0.5,30438.0,16252.0,38564.0,48.1875,4626,503.5,0.8658593506897625,0.9189399439892127,1.0,-0.18174418604651163
characteristic,0.5,13674.0,9128.0,18238.0,31.59375,3033,237.25,1.8308476806667398,1.9430858646781446,2.1144862375260445,1.0
oracle,0.5,13674.0,9128.0,18238.0,31.59375,3033,237.25,1.8308476806667398,1.9430858646781446,2.1144862375260445,1.0
static,1.0,33391.0,0.0,33391.0,0.0,0,438.0,1.0,1.0389625947111496,1.3744422149681053,0.11734463786416524
reactive,1.0,30846.0,3846.0,34692.0,15.458333333333334,1484,443.5,0.9624985587455321,1.0,1.322898650985818,0.0
history,1.0,30682.0,15212.0,45894.0,46.5,4464,596.75,0.727567873796139,0.7559158059877108,1.0,-1.0103725083431045
characteristic,1.0,19123.0,4482.0,23605.0,16.21875,1557,304.75,1.4145731836475324,1.4696886252912518,1.9442490997669986,1.0
oracle,1.0,19123.0,4482.0,23605.0,16.21875,1557,304.75,1.4145731836475324,1.4696886252912518,1.9442490997669986,1.0
static,2.0,33391.0,0.0,33391.0,0.0,0,438.0,1.0,0.9908358539726273,1.6365188224371836,-0.12090082971157645
reactive,2.0,31969.0,558.0,33085.0,2.3958333333333335,230,432.0,1.009248904337313,1.0,1.6516548284721173,0.0
history,2.0,30237.0,12204.0,54645.0,42.09375,4041,749.5,0.6110531613139354,0.6054533809131668,1.0,-8.518372184907152
characteristic,2.0,29406.0,574.0,30554.0,2.4583333333333335,236,383.25,1.0928519997381685,1.0828369444262618,1.7884728677096289,1.0
oracle,2.0,29406.0,574.0,30554.0,2.4583333333333335,236,383.25,1.0928519997381685,1.0828369444262618,1.7884728677096289,1.0
static,4.0,33391.0,0.0,33391.0,0.0,0,438.0,1.0,0.9973645593123895,1.7847324129256386,-0.24512534818941503
reactive,4.0,33239.0,16.0,33303.0,0.041666666666666664,4,438.0,1.0026424045881752,1.0,1.7894483980422184,0.0
history,4.0,30490.0,7276.0,59594.0,29.34375,2817,845.0,0.560308084706514,0.5588314259824815,1.0,-73.23398328690807
characteristic,4.0,32872.0,18.0,32944.0,0.0625,6,438.0,1.0135684798445848,1.0108972802331229,1.8089485186983973,1.0
oracle,4.0,32872.0,18.0,32944.0,0.0625,6,438.0,1.0135684798445848,1.0108972802331229,1.8089485186983973,1.0
