policy_timestep,current_step,target_step,rollout_mse,graph_mismatch,num_wrong_destinations,fraction_wrong_destinations,exact_graph,wrong_destinations
0,1,5,6.571831181645393e-05,0.0,0,0.0,1,
1,2,6,6.271178426686674e-05,0.0,0,0.0,1,
2,3,7,5.9893063735216856e-05,0.0,0,0.0,1,
3,4,8,5.7281096815131605e-05,0.0,0,0.0,1,
4,5,9,5.484810390044004e-05,0.0,0,0.0,1,
5,6,10,5.2544721256708726e-05,0.0,0,0.0,1,
6,7,11,5.041694748797454e-05,0.015625,1,0.015625,0,52
7,8,12,4.83765106764622e-05,0.0,0,0.0,1,
8,9,13,4.649980110116303e-05,0.0,0,0.0,1,
9,10,14,4.470993735594675e-05,0.0,0,0.0,1,
10,11,15,4.30477230111137e-05,0.0,0,0.0,1,
11,12,16,4.148850712226704e-05,0.0,0,0.0,1,
12,13,17,4.002223431598395e-05,0.0,0,0.0,1,
13,14,18,3.866744373226538e-05,0.0,0,0.0,1,
14,15,19,3.738260056707077e-05,0.0,0,0.0,1,
15,16,20,3.617027323343791e-05,0.0,0,0.0,1,
16,17,21,3.503813786664978e-05,0.0,0,0.0,1,
17,18,22,3.39959588018246e-05,0.0,0,0.0,1,
18,19,23,3.298644151072949e-05,0.0,0,0.0,1,
19,20,24,3.205200482625514e-05,0.0,0,0.0,1,
20,21,25,3.1156945624388754e-05,0.0,0,0.0,1,
21,22,26,3.0324938052217476e-05,0.0,0,0.0,1,
22,23,27,2.9545424695243128e-05,0.0,0,0.0,1,
23,24,28,2.880603278754279e-05,0.0,0,0.0,1,
24,25,29,2.8101156203774735e-05,0.0,0,0.0,1,
25,26,30,2.7446256353869103e-05,0.0,0,0.0,1,
26,27,31,2.6815192541107535e-05,0.0,0,0.0,1,
27,28,32,2.622023384901695e-05,0.0,0,0.0,1,
28,29,33,2.5650140742072836e-05,0.0,0,0.0,1,
29,30,34,2.511714046704583e-05,0.0,0,0.0,1,
30,31,35,2.4598599338787608e-05,0.0,0,0.0,1,
31,32,36,2.4103541363729164e-05,0.0,0,0.0,1,
32,33,37,2.3636112018721178e-05,0.0,0,0.0,1,
33,34,38,2.3183694793260656e-05,0.0,0,0.0,1,
34,35,39,2.2749405616195872e-05,0.0,0,0.0,1,
35,36,40,2.2320420612231828e-05,0.0,0,0.0,1,
36,37,41,2.1926258341409266e-05,0.0,0,0.0,1,
37,38,42,2.1533029212150723e-05,0.0,0,0.0,1,
38,39,43,2.1159286916372366e-05,0.015625,1,0.015625,0,48
39,40,44,2.0793591829715297e-05,0.0,0,0.0,1,
40,41,45,2.0427776689757593e-05,0.0,0,0.0,1,
41,42,46,2.0087063603568822e-05,0.0,0,0.0,1,
42,43,47,1.9747358237509616e-05,0.0,0,0.0,1,
43,44,48,1.94104177353438e-05,0.0,0,0.0,1,
44,45,49,1.9088392946287058e-05,0.0,0,0.0,1,
45,46,50,1.8774273485178128e-05,0.0,0,0.0,1,
46,47,51,1.8451657524565235e-05,0.0,0,0.0,1,
47,48,52,1.8147526134271175e-05,0.0,0,0.0,1,
48,49,53,1.7840182408690453e-05,0.0,0,0.0,1,
49,50,54,1.7544833099236712e-05,0.0,0,0.0,1,
50,51,55,1.7249327356694266e-05,0.0,0,0.0,1,
51,52,56,1.6947329640970565e-05,0.0,0,0.0,1,
52,53,57,1.665922718530055e-05,0.015625,1,0.015625,0,31
53,54,58,1.637700006540399e-05,0.0,0,0.0,1,
54,55,59,1.6089963537524454e-05,0.0,0,0.0,1,
55,56,60,1.5806017472641543e-05,0.0,0,0.0,1,
56,57,61,1.553990296088159e-05,0.0,0,0.0,1,
57,58,62,1.5263145542121492e-05,0.0,0,0.0,1,
58,59,63,1.4989126611908432e-05,0.0,0,0.0,1,
59,60,64,1.4717705198563635e-05,0.0,0,0.0,1,
60,61,65,1.445515408704523e-05,0.0,0,0.0,1,
61,62,66,1.4192153685144149e-05,0.0,0,0.0,1,
62,63,67,1.3922050129622221e-05,0.0,0,0.0,1,
63,64,68,1.3662616765941493e-05,0.0,0,0.0,1,
64,65,69,1.3408333870756906e-05,0.0,0,0.0,1,
65,66,70,1.3152603060007095e-05,0.0,0,0.0,1,
66,67,71,1.2891382539237384e-05,0.0,0,0.0,1,
67,68,72,1.2643855370697565e-05,0.0,0,0.0,1,
68,69,73,1.2397932550811674e-05,0.0,0,0.0,1,
69,70,74,1.2154220712545794e-05,0.0,0,0.0,1,
70,71,75,1.1906756299140397e-05,0.0,0,0.0,1,
71,72,76,1.167281334346626e-05,0.0,0,0.0,1,
