policy,total_cost,mean_cost,p95_cost,family,severity,label,improvement_vs_reactive,improvement_vs_history,oracle_capture_vs_reactive
reactive,30755.0,320.3645833333333,368.25,baseline,0.0,reactive,1.0,1.027767842627215,0.0
history,31609.0,329.2604166666667,367.5,baseline,0.0,history,0.9729823784365212,1.0,-0.06892655367231638
oracle,18365.0,191.30208333333334,211.25,baseline,0.0,oracle,1.674652872311462,1.7211543697250204,1.0
wrong_c0_0,18365.0,191.30208333333334,211.25,wrong_c0,0.0,0% c0 error,1.674652872311462,1.7211543697250204,1.0
wrong_c0_0.02,26857.0,279.7604166666667,341.5,wrong_c0,0.02,2% c0 error,1.1451390698886696,1.1769371113676137,0.3146085552865214
wrong_c0_0.05,30479.0,317.4895833333333,365.5,wrong_c0,0.05,5% c0 error,1.0090554152039108,1.0370747071754323,0.022276029055690073
wrong_c0_0.1,31331.0,326.3645833333333,383.5,wrong_c0,0.1,10% c0 error,0.9816156522294214,1.008873001180939,-0.04648910411622276
wrong_c0_0.2,31445.0,327.5520833333333,364.25,wrong_c0,0.2,20% c0 error,0.9780569247893147,1.0052154555573223,-0.05569007263922518
wrong_omega_0,18365.0,191.30208333333334,211.25,wrong_omega,0.0,0% omega error,1.674652872311462,1.7211543697250204,1.0
wrong_omega_0.02,21207.0,220.90625,256.5,wrong_omega,0.02,2% omega error,1.4502286980713914,1.490498420332909,0.7706214689265537
wrong_omega_0.05,23196.0,241.625,295.0,wrong_omega,0.05,5% omega error,1.3258751508880842,1.3626918434212796,0.6100887812752219
wrong_omega_0.1,25409.0,264.6770833333333,317.25,wrong_omega,0.1,10% omega error,1.2103978905112363,1.2440080286512654,0.4314769975786925
wrong_omega_0.2,27322.0,284.6041666666667,348.25,wrong_omega,0.2,20% omega error,1.1256496596149623,1.156906522216529,0.2770782889426957
state_delay_0,18365.0,191.30208333333334,211.25,state_delay,0.0,0 step delay,1.674652872311462,1.7211543697250204,1.0
state_delay_1,20126.0,209.64583333333334,237.5,state_delay,1.0,1 step delay,1.5281228261949718,1.5705555003478089,0.8578692493946731
state_delay_2,21290.0,221.77083333333334,261.0,state_delay,2.0,2 step delay,1.4445749178017848,1.484687646782527,0.7639225181598063
state_delay_4,23995.0,249.94791666666666,308.5,state_delay,4.0,4 step delay,1.2817253594498854,1.3173161075224005,0.5456012913640033
state_delay_8,25263.0,263.15625,334.0,state_delay,8.0,8 step delay,1.2173930253730751,1.251197403317104,0.4432606941081517
no_spatial_variation,31427.0,327.3645833333333,363.25,structural,1.0,constant-velocity model,0.9786171126738155,1.0057911986508417,-0.05423728813559322
true_schedule,18365.0,191.30208333333334,211.25,wrong_regime,0.0,true_schedule,1.674652872311462,1.7211543697250204,1.0
wrong_amplitudes,25436.0,264.9583333333333,336.25,wrong_regime,0.0,wrong_amplitudes,1.2091130680924673,1.2426875294857682,0.4292978208232445
late_switches,26101.0,271.8854166666667,335.0,wrong_regime,0.0,late_switches,1.178307344546186,1.2110263974560362,0.3756255044390638
early_switches,24688.0,257.1666666666667,307.25,wrong_regime,0.0,early_switches,1.245746921581335,1.2803386260531433,0.48966908797417275
